subj	seqno	ndcm	pname	tr	matrix	acqdir	dname	fullpath
20231019	1 	3	localizer 	8.6 	 0 256 230 0	ROW 	s001_localizer	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231019PilotP31/DICOM/s001_localizer
20231019	2 	3	localizer 	8.6 	 0 256 230 0	ROW 	s002_localizer	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231019PilotP31/DICOM/s002_localizer
20231019	3 	160	MPRAGE1p	3000	 0 256 184 0	ROW 	s003_MPRAGE1p	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231019PilotP31/DICOM/s003_MPRAGE1p
20231019	4 	160	MPRAGE1p	3000	 0 256 184 0	ROW 	s004_MPRAGE1p	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231019PilotP31/DICOM/s004_MPRAGE1p
20231019	5 	1	PMRSv160	null	null	null	s005_PMRSv160	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231019PilotP31/DICOM/s005_PMRSv160
20231019	6 	1	PMRSv160	null	null	null	s006_PMRSv160	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231019PilotP31/DICOM/s006_PMRSv160
20231019	7 	3	MPRAGE1p	3000	 0 256 184 0	ROW 	s007__MPR_Collection_	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231019PilotP31/DICOM/s007__MPR_Collection_
20231019	8 	1	PMRS	null	null	null	s008_PMRS	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231019PilotP31/DICOM/s008_PMRS
20231019	9 	3	localizer 	8.6 	 0 256 230 0	ROW 	s009_localizer	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231019PilotP31/DICOM/s009_localizer
20231019	10	1	localizer_cspine	8.6 	 0 256 230 0	ROW 	s010_localizer_cspine	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231019PilotP31/DICOM/s010_localizer_cspine
20231019	11	1	localizer_cspine	6 	 0 256 256 0	ROW 	s011_localizer_cspine	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231019PilotP31/DICOM/s011_localizer_cspine
20231019	12	5	localizer_cspine	6 	 0 256 256 0	ROW 	s012_localizer_cspine	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231019PilotP31/DICOM/s012_localizer_cspine
20231103	1 	512	txa_adjust	null	null	null	s001_txa_adjust	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s001_txa_adjust
20231103	2 	5	localizer 	8.6 	 0 256 256 0	ROW 	s002_localizer	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s002_localizer
20231103	3 	82	gre_field_mapping_MCxx_B0scout_41 	320 	 128 0 0 128	COL 	s003_gre_field_mapping_MCxx_B0scout_41	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s003_gre_field_mapping_MCxx_B0scout_41
20231103	4 	41	gre_field_mapping_MCxx_B0scout_41 	320 	 128 0 0 128	COL 	s004_gre_field_mapping_MCxx_B0scout_41	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s004_gre_field_mapping_MCxx_B0scout_41
20231103	5 	11	B1_rel_B0_1slc_merged 	120 	 64 0 0 64	COL 	s005_B1_rel_B0_1slc_merged	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s005_B1_rel_B0_1slc_merged
20231103	6 	176	B1_rel_B0_1slc_merged 	120 	 64 0 0 64	COL 	s006_B1_rel_B0_1slc_merged_B1	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s006_B1_rel_B0_1slc_merged_B1
20231103	7 	352	B1_abs_1slc_merged	10000 	 64 0 0 64	COL 	s007_B1_abs_1slc_merged_B1	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s007_B1_abs_1slc_merged_B1
20231103	8 	205	gre_field_mapping_MCxx_B0map_41 	603 	 64 0 0 64	COL 	s008_gre_field_mapping_MCxx_B0map_41	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s008_gre_field_mapping_MCxx_B0map_41
20231103	9 	41	gre_field_mapping_MCxx_B0map_41 	603 	 64 0 0 64	COL 	s009_gre_field_mapping_MCxx_B0map_41	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s009_gre_field_mapping_MCxx_B0map_41
20231103	10	11	B1_abs_1slc_singleChannelMode 	10000 	 64 0 0 64	COL 	s010_B1_abs_1slc_singleChannelMode_B1	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s010_B1_abs_1slc_singleChannelMode_B1
20231103	11	11	B1_abs_1slcRing_singleChannelMode 	10000 	 64 0 0 64	COL 	s011_B1_abs_1slcRing_singleChannelMode_B1	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s011_B1_abs_1slcRing_singleChannelMode_B1
