subj	seqno	ndcm	pname	tr	matrix	acqdir	dname	fullpath
20231103	28	66	anat-magnitude_acq-b0recon	323 	 128 0 0 128	COL 	001_anat-magnitude_acq-b0recon	dcm-rehead/20231103Luna_PilotSPA2/001_anat-magnitude_acq-b0recon/
20231103	16	192	anat-MP2RAGE_desc-div 	6000	 0 210 184 0	ROW 	001_anat-MP2RAGE_desc-div	dcm-rehead/20231103Luna_PilotSPA2/001_anat-MP2RAGE_desc-div/
20231103	18	192	anat-MP2RAGE_desc-mask	6000	 0 210 184 0	ROW 	001_anat-MP2RAGE_desc-mask	dcm-rehead/20231103Luna_PilotSPA2/001_anat-MP2RAGE_desc-mask/
20231103	12	192	anat-MP2RAGE_inv-1_part-mag 	6000	 0 210 184 0	ROW 	001_anat-MP2RAGE_inv-1_part-mag	dcm-rehead/20231103Luna_PilotSPA2/001_anat-MP2RAGE_inv-1_part-mag/
20231103	13	192	anat-MP2RAGE_inv-1_part-phase 	6000	 0 210 184 0	ROW 	001_anat-MP2RAGE_inv-1_part-phase	dcm-rehead/20231103Luna_PilotSPA2/001_anat-MP2RAGE_inv-1_part-phase/
20231103	14	192	anat-MP2RAGE_inv-2_part-mag 	6000	 0 210 184 0	ROW 	001_anat-MP2RAGE_inv-2_part-mag	dcm-rehead/20231103Luna_PilotSPA2/001_anat-MP2RAGE_inv-2_part-mag/
20231103	15	192	anat-MP2RAGE_inv-2_part-phase 	6000	 0 210 184 0	ROW 	001_anat-MP2RAGE_inv-2_part-phase	dcm-rehead/20231103Luna_PilotSPA2/001_anat-MP2RAGE_inv-2_part-phase/
20231103	48	44	anat-MTR_acq-noMT 	150 	 0 144 126 0	ROW 	001_anat-MTR_acq-noMT	dcm-rehead/20231103Luna_PilotSPA2/001_anat-MTR_acq-noMT/
20231103	47	44	anat-MTR_acq-yesMT	150 	 0 144 126 0	ROW 	001_anat-MTR_acq-yesMT	dcm-rehead/20231103Luna_PilotSPA2/001_anat-MTR_acq-yesMT/
20231103	29	33	anat-phase_acq-b0recon	323 	 128 0 0 128	COL 	001_anat-phase_acq-b0recon	dcm-rehead/20231103Luna_PilotSPA2/001_anat-phase_acq-b0recon/
20231103	2 	5	anat-scout_acq-pTx	8.6 	 0 256 256 0	ROW 	001_anat-scout_acq-pTx	dcm-rehead/20231103Luna_PilotSPA2/001_anat-scout_acq-pTx/
20231103	17	192	anat-T1map	6000	 0 210 184 0	ROW 	001_anat-T1map	dcm-rehead/20231103Luna_PilotSPA2/001_anat-T1map/
20231103	19	192	anat-UNIT1	6000	 0 210 184 0	ROW 	001_anat-UNIT1	dcm-rehead/20231103Luna_PilotSPA2/001_anat-UNIT1/
20231103	20	192	anat-UNIT1_desc-nomask	6000	 0 210 184 0	ROW 	001_anat-UNIT1_desc-nomask	dcm-rehead/20231103Luna_PilotSPA2/001_anat-UNIT1_desc-nomask/
20231103	5 	187	anat_acq-b1 	120 	 64 0 0 64	COL 	001_anat_acq-b1	dcm-rehead/20231103Luna_PilotSPA2/001_anat_acq-b1/
20231103	1 	64	deriv_acq-pTx_desc-tablechange	null	null	null	001_deriv_acq-pTx_desc-tablechange	dcm-rehead/20231103Luna_PilotSPA2/001_deriv_acq-pTx_desc-tablechange/
20231103	23	1	derivanat-t1w 	6000	 0 210 184 0	ROW 	001_derivanat-t1w	dcm-rehead/20231103Luna_PilotSPA2/001_derivanat-t1w/
20231103	22	3	derivfunc-bold_desc-moco	1300	 110 0 0 110	COL 	001_derivfunc-bold_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/001_derivfunc-bold_desc-moco/
20231103	35	2	derivfunc-bold_task-rest_desc-moco	1300	 110 0 0 110	COL 	001_derivfunc-bold_task-rest_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/001_derivfunc-bold_task-rest_desc-moco/
20231103	41	1	dwi-dwi_dir-PA	5500	 148 0 0 148	COL 	001_dwi-dwi_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/001_dwi-dwi_dir-PA/
20231103	42	84	dwi-dwi_dir-PA_desc-adc 	5500	 148 0 0 148	COL 	001_dwi-dwi_dir-PA_desc-adc	dcm-rehead/20231103Luna_PilotSPA2/001_dwi-dwi_dir-PA_desc-adc/
20231103	45	84	dwi-dwi_dir-PA_desc-colFA 	null	null	null	001_dwi-dwi_dir-PA_desc-colFA	dcm-rehead/20231103Luna_PilotSPA2/001_dwi-dwi_dir-PA_desc-colFA/
20231103	44	84	dwi-dwi_dir-PA_desc-FA	5500	 148 0 0 148	COL 	001_dwi-dwi_dir-PA_desc-FA	dcm-rehead/20231103Luna_PilotSPA2/001_dwi-dwi_dir-PA_desc-FA/
20231103	46	1	dwi-dwi_dir-PA_desc-tensor	null	null	null	001_dwi-dwi_dir-PA_desc-tensor	dcm-rehead/20231103Luna_PilotSPA2/001_dwi-dwi_dir-PA_desc-tensor/
20231103	43	1092	dwi-dwi_dir-PA_desc-tracew	5500	 148 0 0 148	COL 	001_dwi-dwi_dir-PA_desc-tracew	dcm-rehead/20231103Luna_PilotSPA2/001_dwi-dwi_dir-PA_desc-tracew/
20231103	38	1	dwi-sbref_acq-b0_dir-AP 	5500	 148 0 0 148	COL 	001_dwi-sbref_acq-b0_dir-AP	dcm-rehead/20231103Luna_PilotSPA2/001_dwi-sbref_acq-b0_dir-AP/
20231103	39	1	dwi-sbref_acq-b0_dir-PA 	5500	 148 0 0 148	COL 	001_dwi-sbref_acq-b0_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/001_dwi-sbref_acq-b0_dir-PA/
20231103	40	1	dwi-sbref_dir-PA	5500	 148 0 0 148	COL 	001_dwi-sbref_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/001_dwi-sbref_dir-PA/
20231103	30	1	fmap-epi_acq-rest_dir-AP	5000	 110 0 0 110	COL 	001_fmap-epi_acq-rest_dir-AP	dcm-rehead/20231103Luna_PilotSPA2/001_fmap-epi_acq-rest_dir-AP/
20231103	32	1	fmap-epi_acq-rest_dir-PA	5000	 110 0 0 110	COL 	001_fmap-epi_acq-rest_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/001_fmap-epi_acq-rest_dir-PA/
20231103	10	11	fmap-fieldmap_acq-b1Brain 	10000 	 64 0 0 64	COL 	001_fmap-fieldmap_acq-b1Brain	dcm-rehead/20231103Luna_PilotSPA2/001_fmap-fieldmap_acq-b1Brain/
20231103	11	11	fmap-fieldmap_acq-b1SkullIGNORE 	10000 	 64 0 0 64	COL 	001_fmap-fieldmap_acq-b1SkullIGNORE	dcm-rehead/20231103Luna_PilotSPA2/001_fmap-fieldmap_acq-b1SkullIGNORE/
20231103	7 	352	fmap-fieldmap_acq-combined-b1 	10000 	 64 0 0 64	COL 	001_fmap-fieldmap_acq-combined-b1	dcm-rehead/20231103Luna_PilotSPA2/001_fmap-fieldmap_acq-combined-b1/
20231103	8 	205	fmap-magnitude_acq-b0echo5	603 	 64 0 0 64	COL 	001_fmap-magnitude_acq-b0echo5	dcm-rehead/20231103Luna_PilotSPA2/001_fmap-magnitude_acq-b0echo5/
20231103	24	165	fmap-magnitude_acq-b0high 	500 	 64 0 0 64	COL 	001_fmap-magnitude_acq-b0high	dcm-rehead/20231103Luna_PilotSPA2/001_fmap-magnitude_acq-b0high/
20231103	26	165	fmap-magnitude_acq-b0pfc	500 	 64 0 0 64	COL 	001_fmap-magnitude_acq-b0pfc	dcm-rehead/20231103Luna_PilotSPA2/001_fmap-magnitude_acq-b0pfc/
20231103	3 	82	fmap-magnitude_acq-b1 	320 	 128 0 0 128	COL 	001_fmap-magnitude_acq-b1	dcm-rehead/20231103Luna_PilotSPA2/001_fmap-magnitude_acq-b1/
20231103	9 	41	fmap-phase_acq-b0 	603 	 64 0 0 64	COL 	001_fmap-phase_acq-b0	dcm-rehead/20231103Luna_PilotSPA2/001_fmap-phase_acq-b0/
20231103	25	33	fmap-phase_acq-b0high 	500 	 64 0 0 64	COL 	001_fmap-phase_acq-b0high	dcm-rehead/20231103Luna_PilotSPA2/001_fmap-phase_acq-b0high/
20231103	27	33	fmap-phase_acq-b0pfc	500 	 64 0 0 64	COL 	001_fmap-phase_acq-b0pfc	dcm-rehead/20231103Luna_PilotSPA2/001_fmap-phase_acq-b0pfc/
20231103	4 	41	fmap-phase_acq-b1 	320 	 128 0 0 128	COL 	001_fmap-phase_acq-b1	dcm-rehead/20231103Luna_PilotSPA2/001_fmap-phase_acq-b1/
20231103	21	2	func-bold_task-rest 	1300	 110 0 0 110	COL 	001_func-bold_task-rest	dcm-rehead/20231103Luna_PilotSPA2/001_func-bold_task-rest/
20231103	1 	64	deriv_acq-pTx_desc-tablechange	null	null	null	002_deriv_acq-pTx_desc-tablechange	dcm-rehead/20231103Luna_PilotSPA2/002_deriv_acq-pTx_desc-tablechange/
20231103	22	3	derivfunc-bold_desc-moco	1300	 110 0 0 110	COL 	002_derivfunc-bold_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/002_derivfunc-bold_desc-moco/
20231103	35	2	derivfunc-bold_task-rest_desc-moco	1300	 110 0 0 110	COL 	002_derivfunc-bold_task-rest_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/002_derivfunc-bold_task-rest_desc-moco/
20231103	41	1	dwi-dwi_dir-PA	5500	 148 0 0 148	COL 	002_dwi-dwi_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/002_dwi-dwi_dir-PA/
20231103	30	1	fmap-epi_acq-rest_dir-AP	5000	 110 0 0 110	COL 	002_fmap-epi_acq-rest_dir-AP	dcm-rehead/20231103Luna_PilotSPA2/002_fmap-epi_acq-rest_dir-AP/
20231103	32	1	fmap-epi_acq-rest_dir-PA	5000	 110 0 0 110	COL 	002_fmap-epi_acq-rest_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/002_fmap-epi_acq-rest_dir-PA/
20231103	21	2	func-bold_task-rest 	1300	 110 0 0 110	COL 	002_func-bold_task-rest	dcm-rehead/20231103Luna_PilotSPA2/002_func-bold_task-rest/
20231103	1 	64	deriv_acq-pTx_desc-tablechange	null	null	null	003_deriv_acq-pTx_desc-tablechange	dcm-rehead/20231103Luna_PilotSPA2/003_deriv_acq-pTx_desc-tablechange/
20231103	22	1	derivfunc-bold_desc-moco	1300	 110 0 0 110	COL 	003_derivfunc-bold_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/003_derivfunc-bold_desc-moco/
20231103	35	2	derivfunc-bold_task-rest_desc-moco	1300	 110 0 0 110	COL 	003_derivfunc-bold_task-rest_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/003_derivfunc-bold_task-rest_desc-moco/
20231103	41	1	dwi-dwi_dir-PA	5500	 148 0 0 148	COL 	003_dwi-dwi_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/003_dwi-dwi_dir-PA/
20231103	21	2	func-bold_task-rest 	1300	 110 0 0 110	COL 	003_func-bold_task-rest	dcm-rehead/20231103Luna_PilotSPA2/003_func-bold_task-rest/
20231103	1 	64	deriv_acq-pTx_desc-tablechange	null	null	null	004_deriv_acq-pTx_desc-tablechange	dcm-rehead/20231103Luna_PilotSPA2/004_deriv_acq-pTx_desc-tablechange/
20231103	22	1	derivfunc-bold_desc-moco	1300	 110 0 0 110	COL 	004_derivfunc-bold_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/004_derivfunc-bold_desc-moco/
20231103	35	2	derivfunc-bold_task-rest_desc-moco	1300	 110 0 0 110	COL 	004_derivfunc-bold_task-rest_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/004_derivfunc-bold_task-rest_desc-moco/
20231103	41	1	dwi-dwi_dir-PA	5500	 148 0 0 148	COL 	004_dwi-dwi_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/004_dwi-dwi_dir-PA/
20231103	21	2	func-bold_task-rest 	1300	 110 0 0 110	COL 	004_func-bold_task-rest	dcm-rehead/20231103Luna_PilotSPA2/004_func-bold_task-rest/
20231103	1 	64	deriv_acq-pTx_desc-tablechange	null	null	null	005_deriv_acq-pTx_desc-tablechange	dcm-rehead/20231103Luna_PilotSPA2/005_deriv_acq-pTx_desc-tablechange/
20231103	22	1	derivfunc-bold_desc-moco	1300	 110 0 0 110	COL 	005_derivfunc-bold_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/005_derivfunc-bold_desc-moco/
20231103	35	2	derivfunc-bold_task-rest_desc-moco	1300	 110 0 0 110	COL 	005_derivfunc-bold_task-rest_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/005_derivfunc-bold_task-rest_desc-moco/
20231103	41	1	dwi-dwi_dir-PA	5500	 148 0 0 148	COL 	005_dwi-dwi_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/005_dwi-dwi_dir-PA/
20231103	21	2	func-bold_task-rest 	1300	 110 0 0 110	COL 	005_func-bold_task-rest	dcm-rehead/20231103Luna_PilotSPA2/005_func-bold_task-rest/
20231103	1 	64	deriv_acq-pTx_desc-tablechange	null	null	null	006_deriv_acq-pTx_desc-tablechange	dcm-rehead/20231103Luna_PilotSPA2/006_deriv_acq-pTx_desc-tablechange/
20231103	22	1	derivfunc-bold_desc-moco	1300	 110 0 0 110	COL 	006_derivfunc-bold_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/006_derivfunc-bold_desc-moco/
20231103	35	2	derivfunc-bold_task-rest_desc-moco	1300	 110 0 0 110	COL 	006_derivfunc-bold_task-rest_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/006_derivfunc-bold_task-rest_desc-moco/
20231103	41	1	dwi-dwi_dir-PA	5500	 148 0 0 148	COL 	006_dwi-dwi_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/006_dwi-dwi_dir-PA/
