subj	seqno	ndcm	pname	tr	matrix	acqdir	dname	fullpath
20231103	2 	5	anat-scout_acq-pTx	8.6 	 0 256 256 0	ROW 	002_anat-scout_acq-pTx	dcm-rehead/20231103Luna_PilotSPA2_ses-20231103Luna_PilotSPA2/002_anat-scout_acq-pTx/
20231103	3 	82	fmap-magnitude_acq-b1 	320 	 128 0 0 128	COL 	003_fmap-magnitude_acq-b1	dcm-rehead/20231103Luna_PilotSPA2_ses-20231103Luna_PilotSPA2/003_fmap-magnitude_acq-b1/
20231103	4 	41	fmap-phase_acq-b1 	320 	 128 0 0 128	COL 	004_fmap-phase_acq-b1	dcm-rehead/20231103Luna_PilotSPA2_ses-20231103Luna_PilotSPA2/004_fmap-phase_acq-b1/
20231103	5 	11	anat_acq-b1 	120 	 64 0 0 64	COL 	005_anat_acq-b1	dcm-rehead/20231103Luna_PilotSPA2_ses-20231103Luna_PilotSPA2/005_anat_acq-b1/
20231103	6 	176	anat_acq-b1 	120 	 64 0 0 64	COL 	006_anat_acq-b1	dcm-rehead/20231103Luna_PilotSPA2_ses-20231103Luna_PilotSPA2/006_anat_acq-b1/
20231103	7 	352	fmap-fieldmap_acq-combined-b1 	10000 	 64 0 0 64	COL 	007_fmap-fieldmap_acq-combined-b1	dcm-rehead/20231103Luna_PilotSPA2_ses-20231103Luna_PilotSPA2/007_fmap-fieldmap_acq-combined-b1/
20231103	8 	205	fmap-magnitude_acq-b0echo5	603 	 64 0 0 64	COL 	008_fmap-magnitude_acq-b0echo5	dcm-rehead/20231103Luna_PilotSPA2_ses-20231103Luna_PilotSPA2/008_fmap-magnitude_acq-b0echo5/
20231103	9 	41	fmap-phase_acq-b0 	603 	 64 0 0 64	COL 	009_fmap-phase_acq-b0	dcm-rehead/20231103Luna_PilotSPA2_ses-20231103Luna_PilotSPA2/009_fmap-phase_acq-b0/
20231103	10	11	fmap-fieldmap_acq-b1Brain 	10000 	 64 0 0 64	COL 	010_fmap-fieldmap_acq-b1Brain	dcm-rehead/20231103Luna_PilotSPA2_ses-20231103Luna_PilotSPA2/010_fmap-fieldmap_acq-b1Brain/
20231103	11	11	fmap-fieldmap_acq-b1SkullIGNORE 	10000 	 64 0 0 64	COL 	011_fmap-fieldmap_acq-b1SkullIGNORE	dcm-rehead/20231103Luna_PilotSPA2_ses-20231103Luna_PilotSPA2/011_fmap-fieldmap_acq-b1SkullIGNORE/
20231103	12	192	anat-MP2RAGE_inv-1_part-mag 	6000	 0 210 184 0	ROW 	012_anat-MP2RAGE_inv-1_part-mag	dcm-rehead/20231103Luna_PilotSPA2_ses-20231103Luna_PilotSPA2/012_anat-MP2RAGE_inv-1_part-mag/
20231103	13	192	anat-MP2RAGE_inv-1_part-phase 	6000	 0 210 184 0	ROW 	013_anat-MP2RAGE_inv-1_part-phase	dcm-rehead/20231103Luna_PilotSPA2_ses-20231103Luna_PilotSPA2/013_anat-MP2RAGE_inv-1_part-phase/
20231103	14	192	anat-MP2RAGE_inv-2_part-mag 	6000	 0 210 184 0	ROW 	014_anat-MP2RAGE_inv-2_part-mag	dcm-rehead/20231103Luna_PilotSPA2_ses-20231103Luna_PilotSPA2/014_anat-MP2RAGE_inv-2_part-mag/
20231103	15	192	anat-MP2RAGE_inv-2_part-phase 	6000	 0 210 184 0	ROW 	015_anat-MP2RAGE_inv-2_part-phase	dcm-rehead/20231103Luna_PilotSPA2_ses-20231103Luna_PilotSPA2/015_anat-MP2RAGE_inv-2_part-phase/
20231103	16	192	anat-MP2RAGE_desc-div 	6000	 0 210 184 0	ROW 	016_anat-MP2RAGE_desc-div	dcm-rehead/20231103Luna_PilotSPA2_ses-20231103Luna_PilotSPA2/016_anat-MP2RAGE_desc-div/
20231103	17	192	anat-T1map	6000	 0 210 184 0	ROW 	017_anat-T1map	dcm-rehead/20231103Luna_PilotSPA2_ses-20231103Luna_PilotSPA2/017_anat-T1map/
